out,sig_angle_deg
-53.76,235.66
-53.76,235.66
-53.76,235.66
-70.49,235.75
-59.96,235.75
-59.98,235.75
-60.0,235.75
-50.0,235.66
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-64.31,235.66
-53.76,235.66
-53.76,235.66
-53.76,235.66
-53.76,235.66
-53.76,235.66
-53.76,235.66
-53.76,235.66
-70.49,235.75
-59.96,235.75
-50.0,235.66
-53.81,235.66
-53.81,235.66
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-64.27,235.66
-53.72,235.66
-53.72,235.66
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-64.05,235.66
-53.5,235.66
-53.5,235.66
-53.5,235.66
-53.5,235.66
-53.5,235.66
-53.5,235.66
-53.5,235.66
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.57
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.48
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.4
-50.0,235.31
-50.0,235.31
-50.0,235.31
-50.0,235.22
-50.0,235.22
-50.0,235.13
50.0,235.04
50.0,234.96
-50.0,235.13
-81.32,235.48
-89.25,235.75
-91.08,235.92
-86.77,236.01
-76.31,236.01
-59.67,235.92
-53.56,235.84
-50.0,235.66
-50.0,235.57
-50.0,235.48
-50.0,235.31
-50.0,235.22
-50.0,235.13
50.0,234.96
50.0,234.87
-50.0,234.96
-51.63,235.22
-53.32,235.4
-65.61,235.57
-77.93,235.75
-90.31,235.92
-69.28,235.92
-69.34,235.92
-52.68,235.84
-50.0,235.75
-50.0,235.66
-50.0,235.48
-50.0,235.4
50.0,235.22
-50.0,235.13
-50.0,235.22
-50.0,235.22
-50.0,235.31
-50.0,235.31
-50.0,235.31
-50.0,235.31
-50.0,235.22
-50.0,235.22
-50.0,235.13
50.0,234.96
50.0,234.78
-50.0,235.04
-56.07,235.31
-57.78,235.48
-86.81,235.75
-88.64,235.92
-50.88,235.84
-61.47,235.84
-61.52,235.84
